2015-04-15 14:00:12,007 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10667 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10667 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,008 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,008 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10668 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10668 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,008 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,040 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10669 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10669 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,040 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,040 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10670 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10670 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,040 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,069 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10671 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10671 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,069 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,069 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10672 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10672 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,069 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,940 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10673 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10673 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,940 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,968 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10674 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10674 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,968 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,968 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10675 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10675 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,968 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,990 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10676 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10676 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:12,990 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,011 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10677 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10677 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,011 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,012 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10678 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10678 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,012 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,038 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10679 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10679 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,038 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,038 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10680 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10680 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,038 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,964 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10681 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10681 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,964 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,996 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10682 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10682 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:13,997 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,018 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10683 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10683 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,018 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,018 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10684 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10684 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,019 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:14,053 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10685 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10685 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
